"design_id","scenario_id_module","innovation_module","module","panel","series","phi_module","N_module","M_module","Q_module","x_order","alpha_nominal","C_nominal","note","innovation_label_module","dist_code","skewness","excess_kurtosis","assumption_status_module","severity_group","phi_label_module","alpha_effective","L_module","seed","scenario_id_result","innovation_result","innovation_label_result","assumption_status_result","phi_result","phi_label_result","N_result","M_result","Q_result","L_result","B_point","burn_in","b_true","mean_b_hat","bias_b_hat","rmse_b_hat","nu_true","mean_nu_hat","bias_nu_hat","rmse_nu_hat","sigma_nonpositive_rate","truncation_rate","convex_failure_rate"
"gaussian_phi050_N4096_M128_Q32","gaussian_phi050_N4096","gaussian","fixed_N_sweep","N_4096","N = 4096",0.5,4096,128,32,128,NA,NA,"Direct fixed-N block-length comparison","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.583333333333333,17,1877131599,"gaussian_phi050_N4096","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",4096,128,32,17,100000,0,1.33333333333333,1.2163191287466,-0.117014204586738,1.0985478495171,0.989905568218821,0.990789519110164,0.000883950891342522,0.00831760345147056,0,0,0
"gaussian_phi050_N8000_M400_Q20","gaussian_phi050_N8000","gaussian","block_power","alpha_2_3","alpha = 2/3",0.5,8000,400,20,8000,0.666666666666667,NA,"M = N^(2/3); smallest Q values are boundary designs","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.666666666666667,19,1486176019,"gaussian_phi050_N8000","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",8000,400,20,19,100000,0,1.33333333333333,1.26230856672404,-0.0710247666092929,0.935880810237782,0.996832805467578,0.997001285396068,0.000168479928490339,0.00222328188878284,0,0,1e-05
"gaussian_phi050_N8000_M20_Q400","gaussian_phi050_N8000","gaussian","block_power","alpha_1_3","alpha = 1/3",0.5,8000,20,400,8000,0.333333333333333,NA,"M = N^(1/3)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.333333333333333,10,1486176019,"gaussian_phi050_N8000","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",8000,20,400,10,100000,0,1.33333333333333,1.31022425362282,-0.0231090797105158,0.300113182732122,0.933488978408022,0.934641302667122,0.00115232425909984,0.0149728386242783,0,0,0
"gaussian_phi050_N243_M27_Q9","gaussian_phi050_N243","gaussian","block_power","alpha_3_5","alpha = 3/5",0.5,243,27,9,243,0.6,NA,"M = N^(3/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.6,9,171603686,"gaussian_phi050_N243","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",243,27,9,9,100000,0,1.33333333333333,0.806377431690304,-0.526955901643029,1.96813052123206,0.955862069335477,0.972879434874636,0.0170173655391584,0.0642181471673206,1e-05,0.00508,0.00429
"gaussian_phi050_N243_M9_Q27","gaussian_phi050_N243","gaussian","block_power","alpha_2_5","alpha = 2/5",0.5,243,9,27,243,0.4,NA,"M = N^(2/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.4,4,171603686,"gaussian_phi050_N243","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",243,9,27,4,100000,0,1.33333333333333,1.06527496817419,-0.268058365159141,0.415026073023726,0.856842672413793,0.885473367636925,0.0286306952231314,0.044563593480064,0,0,0
"gaussian_phi050_N1024_M16_Q64","gaussian_phi050_N1024","gaussian","block_power","alpha_2_5","alpha = 2/5",0.5,1024,16,64,1024,0.4,NA,"M = N^(2/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.4,8,952606029,"gaussian_phi050_N1024","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",1024,16,64,8,100000,0,1.33333333333333,1.23093823432607,-0.102395099007261,0.586465797733113,0.91786307244133,0.924157204745026,0.00629413230369658,0.0361492206798385,0,0,0
"gaussian_phi050_N1024_M16_Q64","gaussian_phi050_N1024","gaussian","constant_sensitivity","N_1024","N = 1024",0.5,1024,16,64,0.5,0.5,0.5,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.4,8,952606029,"gaussian_phi050_N1024","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",1024,16,64,8,100000,0,1.33333333333333,1.23093823432607,-0.102395099007261,0.586465797733113,0.91786307244133,0.924157204745026,0.00629413230369658,0.0361492206798385,0,0,0
"gaussian_phi050_N1024_M64_Q16","gaussian_phi050_N1024","gaussian","block_power","alpha_3_5","alpha = 3/5",0.5,1024,64,16,1024,0.6,NA,"M = N^(3/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.6,13,952606029,"gaussian_phi050_N1024","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",1024,64,16,13,100000,0,1.33333333333333,1.07017888756337,-0.263154445769964,1.51610830640416,0.980443285528031,0.984275217167021,0.00383193163898943,0.0222111582304347,0,6e-05,3e-05
"gaussian_phi050_N1024_M64_Q16","gaussian_phi050_N1024","gaussian","constant_sensitivity","N_1024","N = 1024",0.5,1024,64,16,2,0.5,2,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.6,13,952606029,"gaussian_phi050_N1024","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",1024,64,16,13,100000,0,1.33333333333333,1.07017888756337,-0.263154445769964,1.51610830640416,0.980443285528031,0.984275217167021,0.00383193163898943,0.0222111582304347,0,6e-05,3e-05
"gaussian_phi050_N1024_M32_Q32","gaussian_phi050_N1024","gaussian","constant_sensitivity","N_1024","N = 1024",0.5,1024,32,32,1,0.5,1,"M = C sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,13,952606029,"gaussian_phi050_N1024","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",1024,32,32,13,100000,0,1.33333333333333,1.07017888756337,-0.263154445769964,1.51610830640416,0.959582790100979,0.96750211547851,0.00791932537753182,0.0459030603412225,0,6e-05,0
"gaussian_phi050_N1024_M32_Q32","gaussian_phi050_N1024","gaussian","block_power","alpha_1_2","alpha = 1/2",0.5,1024,32,32,1024,0.5,NA,"M = Q = sqrt(N)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,13,952606029,"gaussian_phi050_N1024","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",1024,32,32,13,100000,0,1.33333333333333,1.07017888756337,-0.263154445769964,1.51610830640416,0.959582790100979,0.96750211547851,0.00791932537753182,0.0459030603412225,0,6e-05,0
"gaussian_phi050_N1024_M32_Q32","gaussian_phi050_N1024","gaussian","regular_distribution_dependence","gaussian_phi_0.5","gaussian, phi = 0.5",0.5,1024,32,32,1024,0.5,NA,"Balanced distribution/dependence design","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.5,13,952606029,"gaussian_phi050_N1024","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",1024,32,32,13,100000,0,1.33333333333333,1.07017888756337,-0.263154445769964,1.51610830640416,0.959582790100979,0.96750211547851,0.00791932537753182,0.0459030603412225,0,6e-05,0
"gaussian_phi050_N3125_M25_Q125","gaussian_phi050_N3125","gaussian","block_power","alpha_2_5","alpha = 2/5",0.5,3125,25,125,3125,0.4,NA,"M = N^(2/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.4,12,906128686,"gaussian_phi050_N3125","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",3125,25,125,12,100000,0,1.33333333333333,1.26138640553577,-0.0719469277975651,0.687155342672117,0.947070751776882,0.949922039854475,0.00285128807759338,0.0272844462500853,0,0,0
"gaussian_phi050_N3125_M125_Q25","gaussian_phi050_N3125","gaussian","block_power","alpha_3_5","alpha = 3/5",0.5,3125,125,25,3125,0.6,NA,"M = N^(3/5)","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.5",0.6,16,906128686,"gaussian_phi050_N3125","gaussian","Gaussian","inside formal moment assumptions",0.5,"phi = 0.5",3125,125,25,16,100000,0,1.33333333333333,1.19757546660139,-0.135757866731948,1.14942232801682,0.989755629068403,0.99079588989935,0.00104026083094744,0.00883180640673359,0,0,0
