"design_id","scenario_id","innovation","innovation_label","phi","N","M","Q","comparison","paired_coverage_difference","paired_coverage_difference_mcse","paired_mean_length_difference","paired_mean_length_difference_mcse"
"gaussian_phi050_N243_M9_Q27","gaussian_phi050_N243","gaussian","Gaussian",0.5,243,9,27,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00347,0.000206349259267311,0.00322872865122572,5.13953254164682e-05
"gaussian_phi050_N243_M9_Q27","gaussian_phi050_N243","gaussian","Gaussian",0.5,243,9,27,"VK_leading_oracle_minus_F_feasible_leading",0.00355,0.000209223356115247,0.00315928321425133,5.2142577040933e-05
"gaussian_phi050_N243_M27_Q9","gaussian_phi050_N243","gaussian","Gaussian",0.5,243,27,9,"K_asym_full_minus_K_leading",-0.00399,0.000199351941078998,-0.00652597581189109,1.25027937472082e-05
"gaussian_phi050_N243_M27_Q9","gaussian_phi050_N243","gaussian","Gaussian",0.5,243,27,9,"V_oracle_minus_V_feasible",0.00172,0.00024570514791147,-0.00271443874315633,6.90496089457527e-05
"gaussian_phi050_N243_M27_Q9","gaussian_phi050_N243","gaussian","Gaussian",0.5,243,27,9,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00371,0.000192256933886105,-0.00664441112753846,1.27662836998243e-05
"gaussian_phi050_N243_M27_Q9","gaussian_phi050_N243","gaussian","Gaussian",0.5,243,27,9,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00183,0.000220605978318759,-0.00366680170236716,7.27553187410374e-05
"gaussian_phi050_N243_M27_Q9","gaussian_phi050_N243","gaussian","Gaussian",0.5,243,27,9,"VK_leading_oracle_minus_F_feasible_leading",0.00154,0.000227105261427378,-0.00389173668072894,7.35419972445904e-05
"gaussian_phi050_N1024_M16_Q64","gaussian_phi050_N1024","gaussian","Gaussian",0.5,1024,16,64,"K_asym_full_minus_K_leading",-0.00078,8.8283599495826e-05,-0.000700119750264853,4.53639136415271e-07
"gaussian_phi050_N1024_M16_Q64","gaussian_phi050_N1024","gaussian","Gaussian",0.5,1024,16,64,"V_oracle_minus_V_feasible",0.00019,0.000180277463926138,-0.000618454701446968,2.79575759676288e-05
"gaussian_phi050_N1024_M16_Q64","gaussian_phi050_N1024","gaussian","Gaussian",0.5,1024,16,64,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00071,8.42320007497121e-05,-0.000733359430166965,4.77815297821948e-07
"gaussian_phi050_N1024_M16_Q64","gaussian_phi050_N1024","gaussian","Gaussian",0.5,1024,16,64,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00022,0.00017776341580404,-0.000647650830143696,2.8208768656442e-05
"gaussian_phi050_N1024_M16_Q64","gaussian_phi050_N1024","gaussian","Gaussian",0.5,1024,16,64,"VK_leading_oracle_minus_F_feasible_leading",0.00023,0.000180276997972453,-0.000659255313331824,2.83072013813589e-05
"gaussian_phi050_N1024_M32_Q32","gaussian_phi050_N1024","gaussian","Gaussian",0.5,1024,32,32,"K_asym_full_minus_K_leading",-0.00089,9.42982922521888e-05,-0.000748378598737639,7.1616688242573e-07
"gaussian_phi050_N1024_M32_Q32","gaussian_phi050_N1024","gaussian","Gaussian",0.5,1024,32,32,"V_oracle_minus_V_feasible",0.00061,0.000206631812572652,-0.00104538793700975,3.28840860166471e-05
"gaussian_phi050_N1024_M32_Q32","gaussian_phi050_N1024","gaussian","Gaussian",0.5,1024,32,32,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00074,8.59918481367825e-05,-0.000765609152142592,7.3553392216005e-07
"gaussian_phi050_N1024_M32_Q32","gaussian_phi050_N1024","gaussian","Gaussian",0.5,1024,32,32,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00073,0.000204682900973431,-0.00114922366609125,3.35965644865507e-05
