"scenario_id","design_id","innovation","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi","phi_label","N","M","Q","L","seed","sigma2_long_run","B2_long_run","b_true","omega_M","omega_N","nu_oracle","aK_asym_full","factor_K_asym_full","factor_K_leading","variance_component","EL_component","leading_total_component","first_order_length_benchmark","aK_gaussian_exact","aK_exact_minus_asym"
"gaussian_phi050_N1000","gaussian_phi050_N1000_M100_Q10","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",1000,100,10,13,928605957,3,4,1.33333333333333,2.96,2.996,0.987983978638184,143.333333333333,0.856666666666667,0.85,0.0133333333333333,0.15,0.163333333333333,0.214560113970883,143.760884561703,0.427551228369737
"gaussian_phi050_N4096","gaussian_phi050_N4096_M256_Q16","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,256,16,17,1877131599,3,4,1.33333333333333,2.984375,2.9990234375,0.995115597525236,377.333333333333,0.907877604166667,0.90625,0.00520833333333333,0.09375,0.0989583333333333,0.106068894536228,377.596485478114,0.263152144780918
"gaussian_phi050_N4096","gaussian_phi050_N4096_M64_Q64","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,64,64,17,1877131599,3,4,1.33333333333333,2.9375,2.9990234375,0.979485509605992,89.3333333333333,0.978190104166667,0.9765625,0.0208333333333333,0.0234375,0.0442708333333333,0.106068894536228,89.4610111439448,0.127677810611445
"gaussian_phi050_N4096","gaussian_phi050_N4096_M16_Q256","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,16,256,8,1877131599,3,4,1.33333333333333,2.75000381469727,2.9990234375,0.916966429908824,17.3333333333333,0.995768229166667,0.994140625,0.0833333333333333,0.005859375,0.0891927083333333,0.106068894536228,17.6226942499335,0.289360916600138
"gaussian_phi050_N4096","gaussian_phi050_N4096_M32_Q128","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,32,128,16,1877131599,3,4,1.33333333333333,2.8750000000291,2.9990234375,0.958645392390037,41.3333333333333,0.989908854166667,0.98828125,0.0416666666666667,0.01171875,0.0533854166666667,0.106068894536228,41.4992355580731,0.16590222473981
"gaussian_phi050_N4096","gaussian_phi050_N4096_M128_Q32","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,128,32,17,1877131599,3,4,1.33333333333333,2.96875,2.9990234375,0.989905568218821,185.333333333333,0.954752604166667,0.953125,0.0104166666666667,0.046875,0.0572916666666667,0.106068894536228,185.488796835895,0.155463502562071
"gaussian_phi050_N4096","gaussian_phi050_N4096_M8_Q512","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",4096,8,512,4,1877131599,3,4,1.33333333333333,2.501953125,2.9990234375,0.834255942689678,5.33333333333333,0.998697916666667,0.9970703125,0.166666666666667,0.0029296875,0.169596354166667,0.106068894536228,5.91880518576113,0.585471852427799
"gaussian_phi050_N8000","gaussian_phi050_N8000_M400_Q20","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",8000,400,20,19,1486176019,3,4,1.33333333333333,2.99,2.9995,0.996832805467578,593.333333333333,0.925833333333333,0.925,0.00333333333333333,0.075,0.0783333333333333,0.075902752692745,593.542275382286,0.208942048952849
"gaussian_phi050_N8000","gaussian_phi050_N8000_M20_Q400","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",8000,20,400,10,1486176019,3,4,1.33333333333333,2.80000019073486,2.9995,0.933488978408022,23.3333333333333,0.997083333333333,0.99625,0.0666666666666667,0.00375,0.0704166666666667,0.075902752692745,23.5634164939496,0.230083160616271
"gaussian_phi050_N243","gaussian_phi050_N243_M9_Q27","gaussian","Gaussian",1,0,0,"inside formal moment assumptions","regular",0.5,"phi = 0.5",243,9,27,4,171603686,3,4,1.33333333333333,2.55642361111111,2.98353909465021,0.856842672413793,6.83333333333333,0.971879286694102,0.944444444444444,0.148148148148148,0.0555555555555556,0.203703703703704,0.43435099065005,7.42169735137338,0.588364018040046
