"source","r_nominal","C_nominal","M","Q","C_effective","r_effective","phi","N","b","C_opt","coverage","coverage_error","coverage_mcse","convex_failure_rate","theoretical_delta","theoretical_coverage","normalized_error","normalized_theory","oracle_minus_grid_coverage","paired_mcse","normalized_paired_loss","normalized_paired_theory"
"relative grid",1.3,1.22565175405668,20,12,1.25,1.32582521472478,0.5,256,1.33333333333333,0.942809041582063,0.90235,-0.04765,0.000938693120780162,0.00058,2.94166666666667,0.92893946257406,2.35310833105009,1.04003622399521,0.01258,0.000749681970058346,0.62124035266758,0.0400362239952137
"relative grid",1.4,1.31993265821489,21,12,1.3125,1.39211647546102,0.5,256,1.33333333333333,0.942809041582063,0.9027,-0.0473,0.000937191069099573,0.00071,2.98462301587302,0.928631921338884,2.33582421948939,1.05522358690463,0.01223,0.000681915626077897,0.603956241106876,0.0552235869046271
"relative grid",1.5,1.41421356237309,23,11,1.4375,1.52469899693349,0.5,256,1.33333333333333,0.942809041582063,0.89825,-0.05175,0.000956017455384576,0.00132,3.08378623188406,0.927921973252059,2.55557935218976,1.09028307814746,0.01668,0.000706839990540803,0.823711373807252,0.0902830781474642
"relative grid",1.6,1.5084944665313,24,10,1.5,1.59099025766973,0.5,256,1.33333333333333,0.942809041582063,0.8919,-0.0580999999999999,0.000981908295107033,0.00238,3.13888888888889,0.927527471868449,2.86916251907682,1.10976480936222,0.02303,0.000805234546592948,1.13729454069431,0.109764809362221
"relative grid",1.7,1.60277537068951,26,9,1.625,1.72357277914221,0.5,256,1.33333333333333,0.942809041582063,0.88418,-0.06582,0.00101195715126679,0.00424,3.25801282051282,0.926674617243988,3.25040063693006,1.15188147928866,0.03075,0.000857468207875531,1.51853265854754,0.151881479288663
"relative grid",1.8,1.69705627484771,27,9,1.6875,1.78986403987845,0.5,256,1.33333333333333,0.942809041582063,0.88511,-0.06489,0.00100841602476359,0.00413,3.32137345679012,0.926220993770339,3.20447428335447,1.17428284707465,0.02982,0.000822261781395908,1.47260630497196,0.17428284707465
"relative grid",1.9,1.79133717900592,29,8,1.8125,1.92244656135093,0.5,256,1.33333333333333,0.942809041582063,0.87407,-0.0759299999999999,0.00104915029952815,0.00827,3.45438218390805,0.925268732486902,3.74966454515495,1.22130853352569,0.04086,0.000905158989972464,2.01779656677244,0.221308533525687
"relative grid",2,1.88561808316413,30,8,1.875,1.98873782208716,0.5,256,1.33333333333333,0.942809041582063,0.87436,-0.0756399999999999,0.00104811540585949,0.00877,3.52361111111111,0.924773095632856,3.73534342414751,1.24578465546547,0.04057,0.000850792565482265,2.003475445765,0.245784655465466
"C = 1",1.06066017177982,1,16,16,1,1.06066017177982,0.5,256,1.33333333333333,0.942809041582063,0.91368,-0.0363199999999999,0.000888081401674418,6e-05,2.83333333333333,0.929715063102494,1.79359694824217,1.00173460668094,0.00125,0.000596060339126232,0.0617289698596562,0.00173460668094227
"relative grid",0.5,0.471404520791032,11,46,0.486135912065751,0.515625,0.5,512,1.33333333333333,0.942809041582063,0.92915,-0.0208499999999999,0.000811358598278221,0,3.47192107997372,0.932423563199604,1.45612974539898,1.22750946969697,-0.00036,0.000525358414812821,-0.0251418085536516,0.22750946969697
"relative grid",0.6,0.565685424949238,13,39,0.57452425971407,0.609375,0.5,512,1.33333333333333,0.942809041582063,0.93017,-0.0198299999999999,0.000805939024368469,0,3.18254710731157,0.933888505295066,1.38489462116364,1.12520032051282,-0.00138,0.000523816475339406,-0.0963769327889978,0.12520032051282
"relative grid",0.7,0.659966329107444,15,34,0.662912607362388,0.703125,0.5,512,1.33333333333333,0.942809041582063,0.93094,-0.01906,0.000801814918793608,0,3.00569486641865,0.934783811427741,1.33111908620166,1.06267361111111,-0.00215,0.000538197613861968,-0.150152467750975,0.062673611111111
"relative grid",0.8,0.754247233265651,17,30,0.751300955010707,0.796875,0.5,512,1.33333333333333,0.942809041582063,0.93089,-0.01911,0.00080208358604325,0,2.90165080490583,0.935310529584494,1.33461100405634,1.02588848039216,-0.0021,0.000535124998096366,-0.146660549896301,0.0258884803921571
"relative grid",0.9,0.848528137423857,19,26,0.839689302659025,0.890625,0.5,512,1.33333333333333,0.942809041582063,0.9286,-0.0214,0.000814260646230677,0,2.84742286612675,0.935585055968249,1.4945408418004,1.00671600877193,0.00019,0.000555970080154769,0.0132692878477606,0.00671600877193002
