"phi","value","curve","panel"
-0.982155963302752,1.61556183582117,"Variance calibration","Even M"
-0.982072977481234,1.61589085352753,"Variance calibration","Even M"
-0.981989991659716,1.61621255278932,"Variance calibration","Even M"
-0.981907005838199,1.61652702439771,"Variance calibration","Even M"
-0.981824020016681,1.6168343578409,"Variance calibration","Even M"
-0.981741034195163,1.6171346413244,"Variance calibration","Even M"
-0.981658048373645,1.61742796179276,"Variance calibration","Even M"
-0.981575062552127,1.61771440494732,"Variance calibration","Even M"
-0.981492076730609,1.61799405526876,"Variance calibration","Even M"
-0.981409090909091,1.61826699603525,"Variance calibration","Even M"
-0.981326105087573,1.61853330934109,"Variance calibration","Even M"
-0.981243119266055,1.61879307611683,"Variance calibration","Even M"
-0.981160133444537,1.61904637614718,"Variance calibration","Even M"
-0.981077147623019,1.61929328808975,"Variance calibration","Even M"
-0.980994161801501,1.61953388949225,"Variance calibration","Even M"
-0.980911175979983,1.61976825681042,"Variance calibration","Even M"
-0.980828190158465,1.61999646542617,"Variance calibration","Even M"
-0.980745204336948,1.62021858966339,"Variance calibration","Even M"
-0.98066221851543,1.62043470280638,"Variance calibration","Even M"
-0.980579232693912,1.62064487711441,"Variance calibration","Even M"
-0.980496246872394,1.62084918383978,"Variance calibration","Even M"
-0.980413261050876,1.62104769324275,"Variance calibration","Even M"
-0.980330275229358,1.62124047460765,"Variance calibration","Even M"
-0.98024728940784,1.6214275962581,"Variance calibration","Even M"
-0.980164303586322,1.62160912557286,"Variance calibration","Even M"
-0.980081317764804,1.62178512899944,"Variance calibration","Even M"
-0.979998331943286,1.62195567207058,"Variance calibration","Even M"
-0.979915346121768,1.62212081941719,"Variance calibration","Even M"
-0.97983236030025,1.62228063478359,"Variance calibration","Even M"
-0.979749374478732,1.62243518104036,"Variance calibration","Even M"
-0.979666388657214,1.62258452019929,"Variance calibration","Even M"
-0.979583402835696,1.62272871342655,"Variance calibration","Even M"
-0.979500417014179,1.62286782105507,"Variance calibration","Even M"
-0.979417431192661,1.62300190259909,"Variance calibration","Even M"
-0.979334445371143,1.62313101676582,"Variance calibration","Even M"
-0.979251459549625,1.62325522146796,"Variance calibration","Even M"
-0.979168473728107,1.6233745738376,"Variance calibration","Even M"
-0.979085487906589,1.6234891302369,"Variance calibration","Even M"
-0.979002502085071,1.62359894627034,"Variance calibration","Even M"
-0.978919516263553,1.6237040767976,"Variance calibration","Even M"
-0.978836530442035,1.6238045759435,"Variance calibration","Even M"
-0.978753544620517,1.62390049711047,"Variance calibration","Even M"
-0.978670558798999,1.62399189298997,"Variance calibration","Even M"
-0.978587572977481,1.62407881557246,"Variance calibration","Even M"
-0.978504587155963,1.62416131615908,"Variance calibration","Even M"
-0.978421601334445,1.62423944537192,"Variance calibration","Even M"
-0.978338615512927,1.62431325316502,"Variance calibration","Even M"
-0.97825562969141,1.62438278883372,"Variance calibration","Even M"
-0.978172643869892,1.62444810102576,"Variance calibration","Even M"
-0.978089658048374,1.62450923775046,"Variance calibration","Even M"
-0.978006672226856,1.62456624638888,"Variance calibration","Even M"
-0.977923686405338,1.62461917370341,"Variance calibration","Even M"
-0.97784070058382,1.62466806584735,"Variance calibration","Even M"
-0.977757714762302,1.62471296837385,"Variance calibration","Even M"
-0.977674728940784,1.62475392624541,"Variance calibration","Even M"
-0.977591743119266,1.62479098384265,"Variance calibration","Even M"
-0.977508757297748,1.62482418497283,"Variance calibration","Even M"
-0.97742577147623,1.62485357287937,"Variance calibration","Even M"
-0.977342785654712,1.62487919024984,"Variance calibration","Even M"
-0.977259799833194,1.62490107922439,"Variance calibration","Even M"
-0.977176814011676,1.62491928140362,"Variance calibration","Even M"
-0.977093828190159,1.62493383785788,"Variance calibration","Even M"
-0.977010842368641,1.62494478913421,"Variance calibration","Even M"
-0.976927856547123,1.62495217526402,"Variance calibration","Even M"
-0.976844870725605,1.6249560357719,"Variance calibration","Even M"
-0.976761884904087,1.62495640968207,"Variance calibration","Even M"
-0.976678899082569,1.62495333552656,"Variance calibration","Even M"
-0.976595913261051,1.62494685135228,"Variance calibration","Even M"
-0.976512927439533,1.62493699472852,"Variance calibration","Even M"
-0.976429941618015,1.6249238027531,"Variance calibration","Even M"
-0.976346955796497,1.62490731206076,"Variance calibration","Even M"
-0.976263969974979,1.62488755882896,"Variance calibration","Even M"
-0.976180984153461,1.62486457878498,"Variance calibration","Even M"
-0.976097998331943,1.6248384072125,"Variance calibration","Even M"
-0.976015012510425,1.62480907895838,"Variance calibration","Even M"
-0.975932026688907,1.6247766284385,"Variance calibration","Even M"
-0.97584904086739,1.62474108964484,"Variance calibration","Even M"
-0.975766055045872,1.62470249615056,"Variance calibration","Even M"
-0.975683069224354,1.62466088111771,"Variance calibration","Even M"
-0.975600083402836,1.62461627730159,"Variance calibration","Even M"
-0.975517097581318,1.6245687170577,"Variance calibration","Even M"
-0.9754341117598,1.62451823234704,"Variance calibration","Even M"
-0.975351125938282,1.62446485474246,"Variance calibration","Even M"
-0.975268140116764,1.62440861543317,"Variance calibration","Even M"
-0.975185154295246,1.62434954523152,"Variance calibration","Even M"
-0.975102168473728,1.62428767457729,"Variance calibration","Even M"
-0.97501918265221,1.62422303354406,"Variance calibration","Even M"
-0.974936196830692,1.62415565184372,"Variance calibration","Even M"
-0.974853211009174,1.62408555883176,"Variance calibration","Even M"
-0.974770225187656,1.62401278351284,"Variance calibration","Even M"
-0.974687239366139,1.62393735454519,"Variance calibration","Even M"
-0.974604253544621,1.62385930024589,"Variance calibration","Even M"
-0.974521267723103,1.6237786485957,"Variance calibration","Even M"
-0.974438281901585,1.62369542724349,"Variance calibration","Even M"
-0.974355296080067,1.62360966351117,"Variance calibration","Even M"
-0.974272310258549,1.62352138439893,"Variance calibration","Even M"
-0.974189324437031,1.62343061658835,"Variance calibration","Even M"
-0.974106338615513,1.62333738644806,"Variance calibration","Even M"
-0.974023352793995,1.6232417200378,"Variance calibration","Even M"
-0.973940366972477,1.62314364311239,"Variance calibration","Even M"
-0.973857381150959,1.6230431811265,"Variance calibration","Even M"
-0.973774395329441,1.62294035923855,"Variance calibration","Even M"
-0.973691409507923,1.62283520231492,"Variance calibration","Even M"
-0.973608423686405,1.62272773493385,"Variance calibration","Even M"
-0.973525437864887,1.62261798138954,"Variance calibration","Even M"
-0.97344245204337,1.6225059656964,"Variance calibration","Even M"
-0.973359466221852,1.62239171159198,"Variance calibration","Even M"
-0.973276480400334,1.62227524254203,"Variance calibration","Even M"
-0.973193494578816,1.6221565817431,"Variance calibration","Even M"
-0.973110508757298,1.62203575212685,"Variance calibration","Even M"
-0.97302752293578,1.62191277636362,"Variance calibration","Even M"
-0.972944537114262,1.62178767686574,"Variance calibration","Even M"
-0.972861551292744,1.62166047579131,"Variance calibration","Even M"
-0.972778565471226,1.62153119504743,"Variance calibration","Even M"
-0.972695579649708,1.62139985629387,"Variance calibration","Even M"
-0.97261259382819,1.62126648094608,"Variance calibration","Even M"
-0.972529608006672,1.62113109017888,"Variance calibration","Even M"
-0.972446622185154,1.62099370492917,"Variance calibration","Even M"
-0.972363636363636,1.62085434589962,"Variance calibration","Even M"
-0.972280650542118,1.62071303356158,"Variance calibration","Even M"
-0.972197664720601,1.62056978815832,"Variance calibration","Even M"
-0.972114678899083,1.6204246297078,"Variance calibration","Even M"
-0.972031693077565,1.62027757800587,"Variance calibration","Even M"
-0.971948707256047,1.62012865262928,"Variance calibration","Even M"
-0.971865721434529,1.61997787293853,"Variance calibration","Even M"
-0.971782735613011,1.61982525808061,"Variance calibration","Even M"
-0.971699749791493,1.61967082699152,"Variance calibration","Even M"
-0.971616763969975,1.61951459840036,"Variance calibration","Even M"
-0.971533778148457,1.61935659083033,"Variance calibration","Even M"
-0.971450792326939,1.61919682260251,"Variance calibration","Even M"
-0.971367806505421,1.61903531183805,"Variance calibration","Even M"
-0.971284820683903,1.61887207646125,"Variance calibration","Even M"
-0.971201834862385,1.6187071342015,"Variance calibration","Even M"
-0.971118849040867,1.61854050259643,"Variance calibration","Even M"
-0.97103586321935,1.61837219899382,"Variance calibration","Even M"
-0.970952877397832,1.61820224055451,"Variance calibration","Even M"
-0.970869891576314,1.61803064425455,"Variance calibration","Even M"
-0.970786905754796,1.61785742688785,"Variance calibration","Even M"
-0.970703919933278,1.6176826050681,"Variance calibration","Even M"
-0.97062093411176,1.61750619523163,"Variance calibration","Even M"
-0.970537948290242,1.61732821363887,"Variance calibration","Even M"
-0.970454962468724,1.61714867637774,"Variance calibration","Even M"
-0.970371976647206,1.61696759936479,"Variance calibration","Even M"
-0.970288990825688,1.61678499834802,"Variance calibration","Even M"
-0.97020600500417,1.61660088890862,"Variance calibration","Even M"
-0.970123019182652,1.61641528646341,"Variance calibration","Even M"
-0.970040033361134,1.6162282062667,"Variance calibration","Even M"
-0.969957047539616,1.61603966341253,"Variance calibration","Even M"
-0.969874061718098,1.61584967283632,"Variance calibration","Even M"
-0.969791075896581,1.61565824931729,"Variance calibration","Even M"
-0.969708090075063,1.61546540748036,"Variance calibration","Even M"
-0.969625104253545,1.6152711617976,"Variance calibration","Even M"
-0.969542118432027,1.61507552659081,"Variance calibration","Even M"
-0.969459132610509,1.61487851603295,"Variance calibration","Even M"
-0.969376146788991,1.61468014415013,"Variance calibration","Even M"
-0.969293160967473,1.61448042482327,"Variance calibration","Even M"
-0.969210175145955,1.61427937179021,"Variance calibration","Even M"
-0.969127189324437,1.61407699864734,"Variance calibration","Even M"
-0.969044203502919,1.61387331885115,"Variance calibration","Even M"
-0.968961217681401,1.61366834571994,"Variance calibration","Even M"
-0.968878231859883,1.61346209243612,"Variance calibration","Even M"
-0.968795246038365,1.61325457204703,"Variance calibration","Even M"
-0.968712260216847,1.61304579746718,"Variance calibration","Even M"
-0.96862927439533,1.61283578147971,"Variance calibration","Even M"
-0.968546288573812,1.61262453673766,"Variance calibration","Even M"
-0.968463302752294,1.61241207576607,"Variance calibration","Even M"
-0.968380316930776,1.61219841096326,"Variance calibration","Even M"
-0.968297331109258,1.61198355460246,"Variance calibration","Even M"
-0.96821434528774,1.61176751883282,"Variance calibration","Even M"
-0.968131359466222,1.611550315682,"Variance calibration","Even M"
-0.968048373644704,1.6113319570565,"Variance calibration","Even M"
-0.967965387823186,1.61111245474342,"Variance calibration","Even M"
-0.967882402001668,1.61089182041266,"Variance calibration","Even M"
-0.96779941618015,1.61067006561704,"Variance calibration","Even M"
-0.967716430358632,1.6104472017947,"Variance calibration","Even M"
-0.967633444537114,1.61022324026997,"Variance calibration","Even M"
-0.967550458715596,1.60999819225482,"Variance calibration","Even M"
-0.967467472894078,1.60977206885045,"Variance calibration","Even M"
-0.967384487072561,1.60954488104789,"Variance calibration","Even M"
-0.967301501251043,1.60931663973021,"Variance calibration","Even M"
-0.967218515429525,1.60908735567314,"Variance calibration","Even M"
-0.967135529608007,1.60885703954662,"Variance calibration","Even M"
-0.967052543786489,1.60862570191579,"Variance calibration","Even M"
-0.966969557964971,1.60839335324263,"Variance calibration","Even M"
-0.966886572143453,1.60816000388649,"Variance calibration","Even M"
-0.966803586321935,1.60792566410623,"Variance calibration","Even M"
-0.966720600500417,1.6076903440602,"Variance calibration","Even M"
-0.966637614678899,1.60745405380888,"Variance calibration","Even M"
