"boundary","parity","x","Q","method","scale","nu","theta_block","theta_bartlett","aG_over_N","bartlett_multiplier","rejection","coverage","mcse","q95","q95_over_chisq","hull_failure","in_4_6_band","reps","seed"
"negative","odd",3,6,"Variance",1.27888012787813,1.27888012787813,-0.0497870683678639,-0.13606306582392,0.280514262401687,0.719485737598313,0.1402,0.8598,0.00245503523396305,10.1600558925788,2.64484310956193,0.0178,FALSE,20000,2608382
"negative","odd",3,6,"Bartlett",0.719485737598313,1.27888012787813,-0.0497870683678639,-0.13606306582392,0.280514262401687,0.719485737598313,0.0748,0.9252,0.00186017418539233,5.71595034480723,1.48796345649083,0.0178,FALSE,20000,2608382
"negative","odd",3,6,"Combined",0.920136012106222,1.27888012787813,-0.0497870683678639,-0.13606306582392,0.280514262401687,0.719485737598313,0.0994,0.9006,0.00211565167265313,7.31001530791212,1.90292689551498,0.0178,FALSE,20000,2608382
"negative","odd",3,8,"Raw",1,1.29593186187967,-0.0497870683678639,-0.13606306582392,0.211028734685567,0.788971265314433,0.0856,0.9144,0.00197829017082935,5.54414873048755,1.44324044308921,0.0041,FALSE,20000,2608383
"negative","odd",3,8,"Variance",1.29593186187967,1.29593186187967,-0.0497870683678639,-0.13606306582392,0.211028734685567,0.788971265314433,0.115,0.885,0.00225582579114612,7.18483898683856,1.87034127455265,0.0041,FALSE,20000,2608383
"negative","odd",3,8,"Bartlett",0.788971265314433,1.29593186187967,-0.0497870683678639,-0.13606306582392,0.211028734685567,0.788971265314433,0.06015,0.93985,0.0016812492007433,4.37417403898417,1.13867523853706,0.0041,FALSE,20000,2608383
"negative","odd",3,8,"Combined",1.02245300082849,1.29593186187967,-0.0497870683678639,-0.13606306582392,0.211028734685567,0.788971265314433,0.0878,0.9122,0.00200113917556976,5.66863150652649,1.47564552195361,0.0041,FALSE,20000,2608383
"negative","odd",3,10,"Raw",1,1.30638292527996,-0.0497870683678639,-0.13606306582392,0.169131645951629,0.830868354048371,0.06575,0.93425,0.00175252585572938,4.53875060939481,1.18151744460837,0.00095,FALSE,20000,2608384
"negative","odd",3,10,"Variance",1.30638292527996,1.30638292527996,-0.0497870683678639,-0.13606306582392,0.169131645951629,0.830868354048371,0.0955,0.9045,0.00207821738516451,5.9293462982174,1.54351421555679,0.00095,FALSE,20000,2608384
"negative","odd",3,10,"Bartlett",0.830868354048371,1.30638292527996,-0.0497870683678639,-0.13606306582392,0.169131645951629,0.830868354048371,0.0485,0.9515,0.00151900872281893,3.77110424826391,0.981685454481196,0.00095,TRUE,20000,2608384
"negative","odd",3,10,"Combined",1.08543223088426,1.30638292527996,-0.0497870683678639,-0.13606306582392,0.169131645951629,0.830868354048371,0.07395,0.92605,0.00185042424189698,4.92650619938269,1.28245711572993,0.00095,FALSE,20000,2608384
"negative","odd",3,15,"Raw",1,1.32058273968517,-0.0497870683678639,-0.13606306582392,0.113028793481738,0.886971206518262,0.0427,0.9573,0.0014296277487514,3.54810002925015,0.923633493124114,5e-05,TRUE,20000,2608385
"negative","odd",3,15,"Variance",1.32058273968517,1.32058273968517,-0.0497870683678639,-0.13606306582392,0.113028793481738,0.886971206518262,0.07435,0.92565,0.00185502125998599,4.68555965730421,1.21973444881483,5e-05,FALSE,20000,2608385
"negative","odd",3,15,"Bartlett",0.886971206518262,1.32058273968517,-0.0497870683678639,-0.13606306582392,0.113028793481738,0.886971206518262,0.034,0.966,0.0012814835153056,3.14706256379149,0.819236313776973,5e-05,FALSE,20000,2608385
"negative","odd",3,15,"Combined",1.17131886592575,1.32058273968517,-0.0497870683678639,-0.13606306582392,0.113028793481738,0.886971206518262,0.05855,0.94145,0.00166014905204322,4.15595650245241,1.08186933569718,5e-05,TRUE,20000,2608385
"negative","odd",3,20,"Raw",1,1.32779903880914,-0.0497870683678639,-0.13606306582392,0.0848744811790478,0.915125518820952,0.03695,0.96305,0.00133387963287547,3.326726819787,0.866006112538747,0,FALSE,20000,2608386
"negative","odd",3,20,"Variance",1.32779903880914,1.32779903880914,-0.0497870683678639,-0.13606306582392,0.0848744811790478,0.915125518820952,0.0662,0.9338,0.00175808930376133,4.41722467369375,1.14988208383178,0,FALSE,20000,2608386
"negative","odd",3,20,"Bartlett",0.915125518820952,1.32779903880914,-0.0497870683678639,-0.13606306582392,0.0848744811790478,0.915125518820952,0.0294,0.9706,0.00119447980309422,3.04437260693315,0.792504293039136,0,FALSE,20000,2608386
"negative","odd",3,20,"Combined",1.21510278428017,1.32779903880914,-0.0497870683678639,-0.13606306582392,0.0848744811790478,0.915125518820952,0.05585,0.94415,0.00162374224401535,4.0423150212627,1.05228643854948,0,TRUE,20000,2608386
"negative","odd",3,30,"Raw",1,1.33509463792347,-0.0497870683678639,-0.13606306582392,0.0566515781645281,0.943348421835472,0.0309,0.9691,0.0012236255554703,3.11847036653691,0.811793256701741,0,FALSE,20000,2608387
"negative","odd",3,30,"Variance",1.33509463792347,1.33509463792347,-0.0497870683678639,-0.13606306582392,0.0566515781645281,0.943348421835472,0.05875,0.94125,0.00166280542307271,4.16345306488668,1.08382082412493,0,TRUE,20000,2608387
"negative","odd",3,30,"Bartlett",0.943348421835472,1.33509463792347,-0.0497870683678639,-0.13606306582392,0.0566515781645281,0.943348421835472,0.02705,0.97295,0.00114713332921679,2.94180409881328,0.765803887566266,0,FALSE,20000,2608387
"negative","odd",3,30,"Combined",1.25945941968611,1.33509463792347,-0.0497870683678639,-0.13606306582392,0.0566515781645281,0.943348421835472,0.05235,0.94765,0.0015749520230788,3.9275868781469,1.02242066399067,0,TRUE,20000,2608387
"negative","odd",3,50,"Raw",1,1.34098909548605,-0.0497870683678639,-0.13606306582392,0.0340238704403951,0.965976129559605,0.02375,0.97625,0.00107670649436139,2.93371166620916,0.763697283543719,0,FALSE,20000,2608388
"negative","odd",3,50,"Variance",1.34098909548605,1.34098909548605,-0.0497870683678639,-0.13606306582392,0.0340238704403951,0.965976129559605,0.05285,0.94715,0.00158203788671447,3.93407535368669,1.02410972948444,0,TRUE,20000,2608388
"negative","odd",3,50,"Bartlett",0.965976129559605,1.34098909548605,-0.0497870683678639,-0.13606306582392,0.0340238704403951,0.965976129559605,0.0215,0.9785,0.00102561566875706,2.83389544056858,0.737713346112746,0,FALSE,20000,2608388
"negative","odd",3,50,"Combined",1.29536345623925,1.34098909548605,-0.0497870683678639,-0.13606306582392,0.0340238704403951,0.965976129559605,0.0483,0.9517,0.00151603281626751,3.8002228835501,0.989265552731716,0,TRUE,20000,2608388
"negative","odd",3,100,"Raw",1,1.34544420876009,-0.0497870683678639,-0.13606306582392,0.0170242815483269,0.982975718451673,0.02405,0.97595,0.00108331891657074,2.86466611899559,0.745723500552315,0,FALSE,20000,2608389
"negative","odd",3,100,"Variance",1.34544420876009,1.34544420876009,-0.0497870683678639,-0.13606306582392,0.0170242815483269,0.982975718451673,0.0505,0.9495,0.00154838222025442,3.85424843983385,1.00332936515441,0,TRUE,20000,2608389
"negative","odd",3,100,"Bartlett",0.982975718451673,1.34544420876009,-0.0497870683678639,-0.13606306582392,0.0170242815483269,0.982975718451673,0.0226,0.9774,0.00105093387042192,2.81589723644386,0.733028093721708,0,FALSE,20000,2608389
"negative","odd",3,100,"Combined",1.32253898774259,1.34544420876009,-0.0497870683678639,-0.13606306582392,0.0170242815483269,0.982975718451673,0.0485,0.9515,0.00151900872281893,3.78863262923692,0.986248403556319,0,TRUE,20000,2608389
"negative","odd",3,200,"Raw",1,1.34768288464821,-0.0497870683678639,-0.13606306582392,0.00851522735619577,0.991484772643804,0.02455,0.97545,0.00109424168948181,2.90811148091918,0.757033100355793,0,FALSE,20000,2608390
"negative","odd",3,200,"Variance",1.34768288464821,1.34768288464821,-0.0497870683678639,-0.13606306582392,0.00851522735619577,0.991484772643804,0.0519,0.9481,0.00156854056370883,3.91921206948373,1.02024055246167,0,TRUE,20000,2608390
"negative","odd",3,200,"Bartlett",0.991484772643804,1.34768288464821,-0.0497870683678639,-0.13606306582392,0.00851522735619577,0.991484772643804,0.0239,0.9761,0.00108001828688222,2.88334825048199,0.750586791390097,0,FALSE,20000,2608390
