"design_id","scenario_id","innovation","innovation_label","assumption_status","phi","phi_label","N","M","Q","L","B_point","burn_in","b_true","mean_b_hat","bias_b_hat","rmse_b_hat","nu_true","mean_nu_hat","bias_nu_hat","rmse_nu_hat","sigma_nonpositive_rate","truncation_rate","convex_failure_rate"
"gaussian_phi080_N64_M8_Q8","gaussian_phi080_N64","gaussian","Gaussian","inside formal moment assumptions",0.8,"phi = 0.80",64,8,8,4,100000,0,4.44444444444445,1.70253500823839,-2.74190943620606,2.75823576958423,0.577774396815308,0.808531717995097,0.230757321179788,0.233276083186481,0,1e-05,0.03152
"gaussian_phi080_N64_M16_Q4","gaussian_phi080_N64","gaussian","Gaussian","inside formal moment assumptions",0.8,"phi = 0.80",64,16,4,5,100000,0,4.44444444444445,1.94007312638788,-2.50437131805656,2.55614882198079,0.784521604345677,0.906010809797283,0.121489205451606,0.12401553243248,0,0.00022,0.16902
"gaussian_phi085_N64_M4_Q16","gaussian_phi085_N64","gaussian","Gaussian","inside formal moment assumptions",0.85,"phi = 0.85",64,4,16,2,100000,0,6.12612612612612,1.07495377463604,-5.05117235149008,5.05156441368165,0.296298548536041,0.743738522131649,0.447439973595609,0.447699213623678,0,0,0.01025
"gaussian_phi085_N64_M8_Q8","gaussian_phi085_N64","gaussian","Gaussian","inside formal moment assumptions",0.85,"phi = 0.85",64,8,8,4,100000,0,6.12612612612612,1.82366720972783,-4.30245891639829,4.30902916687076,0.489778694421001,0.794581636826467,0.304802942405466,0.306021974547109,0,2e-05,0.04741
"gaussian_phi085_N64_M16_Q4","gaussian_phi085_N64","gaussian","Gaussian","inside formal moment assumptions",0.85,"phi = 0.85",64,16,4,5,100000,0,6.12612612612612,2.12389380347341,-4.00223232265271,4.0218303077383,0.713877366034755,0.896900191210675,0.18302282517592,0.184059437281057,0,7e-05,0.19229
"gaussian_phi090_N64_M4_Q16","gaussian_phi090_N64","gaussian","Gaussian","inside formal moment assumptions",0.9,"phi = 0.90",64,4,16,2,100000,0,9.47368421052632,1.10983605509471,-8.3638481554316,8.36400703332014,0.217685137197825,0.735281578876181,0.517596441678355,0.517747202783659,0,0,0.03066
"gaussian_phi090_N64_M8_Q8","gaussian_phi090_N64","gaussian","Gaussian","inside formal moment assumptions",0.9,"phi = 0.90",64,8,8,4,100000,0,9.47368421052632,1.93505717683113,-7.53862703369519,7.54088556591461,0.38203832524839,0.781691044348156,0.399652719099766,0.400220472948192,0,0,0.08614
"gaussian_phi090_N64_M16_Q4","gaussian_phi090_N64","gaussian","Gaussian","inside formal moment assumptions",0.9,"phi = 0.90",64,16,4,5,100000,0,9.47368421052632,2.29355096269021,-7.18013324783611,7.18639886108432,0.607421375111014,0.888421303788991,0.280999928677978,0.281395163874279,0,1e-05,0.23913
"gaussian_phi095_N64_M4_Q16","gaussian_phi095_N64","gaussian","Gaussian","inside formal moment assumptions",0.95,"phi = 0.95",64,4,16,2,100000,0,19.4871794871795,1.14283501910557,-18.3443444680739,18.3443869187625,0.136238878202736,0.72727209077656,0.591033212573824,0.591110777150425,0,0,0.11567
"gaussian_phi095_N64_M8_Q8","gaussian_phi095_N64","gaussian","Gaussian","inside formal moment assumptions",0.95,"phi = 0.95",64,8,8,4,100000,0,19.4871794871795,2.03989590704384,-17.4472835801356,17.4478173264214,0.254798270195115,0.769506005670187,0.514707735475072,0.51495115238386,0,0,0.19714
