"scenario_id","innovation","module","panel","series","regime","regime_label","phi","N","M","Q","x_order","alpha_nominal","C_nominal","note","innovation_label","dist_code","skewness","excess_kurtosis","assumption_status","severity_group","phi_label","N_label","design_id","alpha_effective","L","seed"
"gaussian_phi060_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.6,64,8,8,0.6,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.60","N = 64","gaussian_phi060_N64_M8_Q8",0.5,4,2610149
"gaussian_phi060_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.6,64,16,4,0.6,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.60","N = 64","gaussian_phi060_N64_M16_Q4",0.666666666666667,5,2610149
"gaussian_phi065_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.65,64,4,16,0.65,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.65","N = 64","gaussian_phi065_N64_M4_Q16",0.333333333333333,2,7613649
"gaussian_phi065_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.65,64,8,8,0.65,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.65","N = 64","gaussian_phi065_N64_M8_Q8",0.5,4,7613649
"gaussian_phi065_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.65,64,16,4,0.65,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.65","N = 64","gaussian_phi065_N64_M16_Q4",0.666666666666667,5,7613649
"gaussian_phi070_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.7,64,4,16,0.7,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.70","N = 64","gaussian_phi070_N64_M4_Q16",0.333333333333333,2,12617149
"gaussian_phi070_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.7,64,8,8,0.7,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.70","N = 64","gaussian_phi070_N64_M8_Q8",0.5,4,12617149
"gaussian_phi070_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(2/3)","alpha_2_3","M = N^(2/3)",0.7,64,16,4,0.7,0.666666666666667,NA,"Long blocks and few blocks; finite-Q error expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.70","N = 64","gaussian_phi070_N64_M16_Q4",0.666666666666667,5,12617149
"gaussian_phi075_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/3)","alpha_1_3","M = N^(1/3)",0.75,64,4,16,0.75,0.333333333333333,NA,"Short blocks; variance mismatch expected to dominate","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.75","N = 64","gaussian_phi075_N64_M4_Q16",0.333333333333333,2,17620649
"gaussian_phi075_N64","gaussian","phi_grid_three_regimes","N_64","M = N^(1/2)","alpha_1_2","M = N^(1/2)",0.75,64,8,8,0.75,0.5,NA,"Balanced blocks; both leading errors have the same order","Gaussian",1,0,0,"inside formal moment assumptions","regular","phi = 0.75","N = 64","gaussian_phi075_N64_M8_Q8",0.5,4,17620649
