"regime","regime_label","alpha_nominal","N","M","Q","statistic","n_phi","coverage_phi_000","coverage_phi_050","coverage_phi_080","coverage_phi_090","coverage_phi_095","coverage_range","coverage_sd_across_phi","coverage_slope_per_unit_phi","drop_phi000_to_095","drop_phi050_to_095","mean_absolute_coverage_error","max_absolute_coverage_error","normalized_length_phi_000","normalized_length_phi_050","normalized_length_phi_080","normalized_length_phi_090","normalized_length_phi_095","normalized_length_range","normalized_length_slope_per_unit_phi"
"alpha_1_3","M = N^(1/3)",0.333333333333333,4096,16,256,"V_oracle",20,0.94946,0.94891,0.95022,0.94823,0.9499,0.00309999999999999,0.000868043626116849,0.000395338345864594,0.000439999999999996,0.000989999999999935,0.000887499999999974,0.00176999999999994,1.0007582452155,1.00085456925496,1.00146586235777,1.00223803252854,1.00321887964797,0.00304338232550627,0.00145633777978543
"alpha_1_3","M = N^(1/3)",0.333333333333333,4096,16,256,"V_feasible",20,0.94921,0.94858,0.93622,0.88872,0.79688,0.1542,0.0357513971018874,-0.069375939849624,-0.15233,-0.1517,0.014173,0.15312,1.00194061497752,1.00106554578092,0.947346624760138,0.817881958865073,0.648138087668369,0.354425821814449,-0.189679422778108
"alpha_1_3","M = N^(1/3)",0.333333333333333,4096,16,256,"VK_asym_full_oracle",20,0.95004,0.94937,0.95031,0.94764,0.94777,0.00402999999999998,0.000998179790787627,-0.00110721804511296,-0.00226999999999999,-0.00160000000000005,0.000781499999999985,0.00235999999999992,1.00372501090785,1.00299632342312,1.00168550477495,0.99934982085056,0.994133954441754,0.00998330161781902,-0.00546004938639024
"alpha_1_3","M = N^(1/3)",0.333333333333333,4096,16,256,"VK_leading_oracle",20,0.95004,0.94948,0.95102,0.94895,0.95056,0.00289000000000006,0.000836663800931701,0.000444210526316225,0.000519999999999965,0.00107999999999997,0.000646000000000002,0.00184000000000006,1.00372501090785,1.00382374411355,1.00444328983667,1.00523053843747,1.00624248153279,0.00310015105071759,0.00148650018960081
"alpha_1_3","M = N^(1/3)",0.333333333333333,4096,16,256,"VK_asym_full_feasible",20,0.94995,0.94905,0.93629,0.88785,0.79268,0.15879,0.0368238496229364,-0.0715338345864665,-0.15727,-0.15637,0.014197,0.15732,1.00492348094021,1.00321453680221,0.947554507908811,0.815534585819548,0.642347866302206,0.363008971800491,-0.195527976800054
"alpha_1_3","M = N^(1/3)",0.333333333333333,4096,16,256,"F_feasible_leading",20,0.94995,0.94918,0.93686,0.88977,0.79836,0.15329,0.0355486857407519,-0.0688857142857142,-0.15159,-0.15082,0.01364,0.15164,1.00492348094021,1.00404476510544,0.950164649414263,0.820314002652538,0.650064649352836,0.355483815373394,-0.190247380306523
"alpha_1_2","M = N^(1/2)",0.5,4096,64,64,"raw",20,0.94661,0.94372,0.93888,0.92506,0.89777,0.04884,0.0111823847729599,-0.0252076691729321,-0.04884,-0.04595,0.00977149999999994,0.05223,1.0002204382201,0.989484653600538,0.965232047459942,0.92350835096904,0.839951380770102,0.161052651081725,-0.0917922870407963
"alpha_1_2","M = N^(1/2)",0.5,4096,64,64,"K_asym_full",20,0.94919,0.94662,0.94115,0.92691,0.89768,0.0517,0.0118301561474768,-0.0265318796992481,-0.0515099999999999,-0.04894,0.00729549999999995,0.0523199999999999,1.0124641641536,1.000742331995,0.974275184292355,0.929184800643909,0.839800423542586,0.173392486145285,-0.0993205040321161
"alpha_1_2","M = N^(1/2)",0.5,4096,64,64,"K_leading",20,0.94919,0.94678,0.94202,0.92852,0.90178,0.04762,0.0108970254149808,-0.0243905263157892,-0.04741,-0.0449999999999999,0.00677449999999996,0.0482199999999999,1.0124641641536,1.0015979429365,0.977049213374139,0.934815648359162,0.85023236907749,0.163025696819275,-0.0929150639666609
"alpha_1_2","M = N^(1/2)",0.5,4096,64,64,"V_oracle",20,0.94661,0.94647,0.94757,0.94563,0.94709,0.00281000000000009,0.000754490242690915,0.000546917293232775,0.000480000000000036,0.000619999999999954,0.00342849999999996,0.00466,1.0002204382201,1.00006291840903,1.00100757128848,1.00148238634685,1.00184704057389,0.00296792761062803,0.000200298909659449
"alpha_1_2","M = N^(1/2)",0.5,4096,64,64,"V_feasible",20,0.94613,0.94616,0.94678,0.93877,0.91649,0.03149,0.00679315832290106,-0.0103657142857142,-0.02964,-0.02967,0.00564999999999995,0.0335099999999999,1.00128727223866,1.0011394675053,0.998725191165819,0.972705563158259,0.89442224755174,0.108666695304737,-0.0417106944527096
"alpha_1_2","M = N^(1/2)",0.5,4096,64,64,"VK_asym_full_oracle",20,0.94919,0.94871,0.94965,0.94704,0.94701,0.00349999999999995,0.00090306553938297,-0.00106436090225587,-0.00217999999999996,-0.00170000000000003,0.00114399999999995,0.00298999999999994,1.0124641641536,1.01144714248715,1.01040376317061,1.00766533676546,1.00166512965525,0.0123305028369669,-0.00696227555223038
"alpha_1_2","M = N^(1/2)",0.5,4096,64,64,"VK_leading_oracle",20,0.94919,0.94885,0.95014,0.94831,0.94983,0.00263000000000002,0.00075099302680903,0.000529624060150537,0.000639999999999974,0.000979999999999981,0.000855999999999968,0.00180999999999998,1.0124641641536,1.01231237934791,1.01328618989761,1.01379908938029,1.01423839174768,0.00303068986556343,0.000271439872138828
"alpha_1_2","M = N^(1/2)",0.5,4096,64,64,"VK_asym_full_feasible",20,0.94916,0.94874,0.949,0.94015,0.91646,0.03379,0.00741318375740494,-0.0120509774436091,-0.0327,-0.03228,0.00327749999999996,0.0335399999999999,1.01360076675485,1.01258140770387,1.00812320588332,0.978710530627976,0.894260811419515,0.12106627076062,-0.0490057002268523
"alpha_1_2","M = N^(1/2)",0.5,4096,64,64,"F_feasible_leading",20,0.94916,0.9489,0.94963,0.94161,0.92001,0.0305,0.00663930473531838,-0.0102267669172928,-0.02915,-0.02889,0.00283999999999995,0.02999,1.01360076675485,1.01345109433953,1.01100632271439,0.9846677195738,0.905417751134077,0.110007534467596,-0.0422260864390774
"alpha_2_3","M = N^(2/3)",0.666666666666667,4096,256,16,"raw",20,0.92506,0.92465,0.9237,0.91977,0.91539,0.01044,0.0023386723629129,-0.00519789473684229,-0.00966999999999996,-0.00925999999999993,0.026309,0.0346099999999999,0.968973627896008,0.967624338991325,0.963438156996256,0.953568024192003,0.931077358080599,0.0393707093975465,-0.0199331929576912
"alpha_2_3","M = N^(2/3)",0.666666666666667,4096,256,16,"K_asym_full",20,0.93678,0.93682,0.93566,0.93119,0.92541,0.01236,0.00279120399412909,-0.00617428571428575,-0.01137,-0.01141,0.0145475,0.02459,1.01923129589293,1.01689562805639,1.01032152158591,0.996519518062796,0.96643208036643,0.0541416910782418,-0.0285442952095557
"alpha_2_3","M = N^(2/3)",0.666666666666667,4096,256,16,"K_leading",20,0.93678,0.93703,0.93632,0.93259,0.92885,0.00905,0.00204808068046262,-0.00432676691729343,-0.00792999999999999,-0.00818000000000008,0.0140735,0.02115,1.01923129589293,1.01783402837828,1.01342581816453,1.00303415324964,0.979388841024746,0.0414017260880805,-0.0209466140214013
"alpha_2_3","M = N^(2/3)",0.666666666666667,4096,256,16,"V_oracle",20,0.92506,0.92529,0.92598,0.92474,0.92562,0.00244,0.000713448814230086,0.00055894736842093,0.000560000000000005,0.000330000000000052,0.0248525,0.02572,0.968973627896008,0.970061410361255,0.971603224683206,0.971062225143118,0.967364418757501,0.00572750595090343,0.000786382365185578
"alpha_2_3","M = N^(2/3)",0.666666666666667,4096,256,16,"V_feasible",20,0.92512,0.92524,0.92577,0.9229,0.91919,0.00717000000000001,0.00150831825135428,-0.00191834586466159,-0.0059300000000001,-0.00605,0.0253515,0.03081,0.969229430205835,0.970319879491655,0.971116690388273,0.964992298662052,0.944497790009668,0.0274997326928513,-0.00815558451128982
"alpha_2_3","M = N^(2/3)",0.666666666666667,4096,256,16,"VK_asym_full_oracle",20,0.93678,0.93745,0.93769,0.93535,0.93494,0.00336999999999998,0.000903045140796292,-0.00101203007518793,-0.00183999999999995,-0.00251000000000001,0.013218,0.01506,1.01923129589293,1.01945834680113,1.01888879197965,1.01481090874442,1.00411256507282,0.01705122606828,-0.00693548307597029
"alpha_2_3","M = N^(2/3)",0.666666666666667,4096,256,16,"VK_leading_oracle",20,0.93678,0.93763,0.93828,0.93671,0.93769,0.00261999999999996,0.000764198926981705,0.00058766917293202,0.000910000000000077,6.000000000006e-05,0.01279,0.0140899999999999,1.01923129589293,1.02039913418016,1.02201965170428,1.02144613714504,1.01757855101673,0.00601136919141365,0.000860022854882096
"alpha_2_3","M = N^(2/3)",0.666666666666667,4096,256,16,"VK_asym_full_feasible",20,0.93674,0.93738,0.93755,0.93393,0.92907,0.00912000000000002,0.00195193904941512,-0.00311022556390967,-0.00767000000000007,-0.00831000000000004,0.0136565,0.02093,1.01956106536407,1.01978037597912,1.01840928883013,1.00848224208702,0.980378207198507,0.0411483048264573,-0.0162876694924958
"alpha_2_3","M = N^(2/3)",0.666666666666667,4096,256,16,"F_feasible_leading",20,0.93674,0.9376,0.93816,0.93539,0.93229,0.00611000000000006,0.0013269691425437,-0.00133939849624081,-0.00445000000000007,-0.00531000000000004,0.0131995,0.01771,1.01956106536407,1.02072244336427,1.02154076859969,1.0150785383522,0.993527396622301,0.0289685799214705,-0.00859329793146686
