"design_id","scenario_id","innovation","innovation_label","phi","N","M","Q","comparison","paired_coverage_difference","paired_coverage_difference_mcse","paired_mean_length_difference","paired_mean_length_difference_mcse"
"gaussian_phi035_N64_M4_Q16","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,4,16,"V_oracle_minus_V_feasible",0.00796,0.000298608900859899,0.0101561913524659,0.000133204123444177
"gaussian_phi035_N64_M4_Q16","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,4,16,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00819,0.00028500886179295,-0.0239084697666366,3.43149077562646e-05
"gaussian_phi035_N64_M4_Q16","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,4,16,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00784,0.000293234042808878,0.00988908215056861,0.000134866302305233
"gaussian_phi035_N64_M4_Q16","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,4,16,"VK_leading_oracle_minus_F_feasible_leading",0.00754,0.000292971572551712,0.00926457826447456,0.000138329740127149
"gaussian_phi035_N64_M8_Q8","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,8,8,"K_asym_full_minus_K_leading",-0.01007,0.0003157323991444,-0.0222360397160422,4.52201470622645e-05
"gaussian_phi035_N64_M8_Q8","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,8,8,"V_oracle_minus_V_feasible",0.00502,0.000356860294082565,-0.00742754177360187,0.000194159011529305
"gaussian_phi035_N64_M8_Q8","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,8,8,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00893,0.000297495270608392,-0.0229743986521359,4.69831422849038e-05
"gaussian_phi035_N64_M8_Q8","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,8,8,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.0038,0.000330237324612021,-0.0100102103545208,0.000201105477074348
"gaussian_phi035_N64_M8_Q8","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,8,8,"VK_leading_oracle_minus_F_feasible_leading",0.0036,0.000314120019600577,-0.0115456009689318,0.0002045842831957
"gaussian_phi035_N64_M16_Q4","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,16,4,"K_asym_full_minus_K_leading",-0.00938,0.000304829600286541,-0.0164992820169486,5.07770138494755e-05
"gaussian_phi035_N64_M16_Q4","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,16,4,"V_oracle_minus_V_feasible",0.00362,0.000264328686858893,-0.0013413123218099,7.95388285482695e-05
"gaussian_phi035_N64_M16_Q4","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,16,4,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00923,0.000302405333104188,-0.0163457848171597,5.03615328937213e-05
"gaussian_phi035_N64_M16_Q4","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,16,4,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.00214,0.000236547592563601,-0.00255009744207505,7.54535694418797e-05
"gaussian_phi035_N64_M16_Q4","gaussian_phi035_N64","gaussian","Gaussian",0.35,64,16,4,"VK_leading_oracle_minus_F_feasible_leading",0.00204,0.000226625015364535,-0.0027716990599996,7.32361375582452e-05
"gaussian_phi040_N64_M4_Q16","gaussian_phi040_N64","gaussian","Gaussian",0.4,64,4,16,"K_asym_full_minus_K_leading",-0.0125,0.00035133848976072,-0.026275843292315,3.67802658556113e-05
"gaussian_phi040_N64_M4_Q16","gaussian_phi040_N64","gaussian","Gaussian",0.4,64,4,16,"V_oracle_minus_V_feasible",0.01126,0.000334564258898695,0.0199626853206804,0.000112730603818983
"gaussian_phi040_N64_M4_Q16","gaussian_phi040_N64","gaussian","Gaussian",0.4,64,4,16,"VK_asym_full_oracle_minus_VK_leading_oracle",-0.00957,0.000307871887074784,-0.029868424607698,4.26851879515227e-05
"gaussian_phi040_N64_M4_Q16","gaussian_phi040_N64","gaussian","Gaussian",0.4,64,4,16,"VK_asym_full_oracle_minus_VK_asym_full_feasible",0.01099,0.000331199782507415,0.0199182573231643,0.000113539111431902
"gaussian_phi040_N64_M4_Q16","gaussian_phi040_N64","gaussian","Gaussian",0.4,64,4,16,"VK_leading_oracle_minus_F_feasible_leading",0.00991,0.000315466185492426,0.019673124476368,0.000116783219724113
"gaussian_phi040_N64_M8_Q8","gaussian_phi040_N64","gaussian","Gaussian",0.4,64,8,8,"K_asym_full_minus_K_leading",-0.01195,0.000343617746531749,-0.0275618739745349,5.62381037325369e-05
